a52dec 0.8.0-2
qt5-quickcontrols 5.15.14-1
qt5-quickcontrols2 5.15.14+kde+r5-1
qt5-quicktimeline 5.15.14-1
qt5-remoteobjects 5.15.14-1
qt5-script 5.15.17-2
qt5-scxml 5.15.14-1
qt5-sensors 5.15.14-1
qt5-serialbus 5.15.14-1
qt5-serialport 5.15.14-1
qt5-speech 5.15.14+kde+r1-1
qt5-tools 5.15.14+kde+r4-2
qt5-virtualkeyboard 5.15.14-1
qt5-webchannel 5.15.14+kde+r3-1
qt5-webengine 5.15.17-6
qt5-webglplugin 5.15.14-1
qt5-websockets 5.15.14+kde+r2-1
qt5-webview 5.15.14-1
qt5-xmlpatterns 5.15.14-1
qt6-5compat 6.7.2-1
qt6-multimedia 6.7.2-1
qt6-multimedia-ffmpeg 6.7.2-1
qt6-positioning 6.7.2-1
qt6-quick3d 6.7.2-1
qt6-quicktimeline 6.7.2-1
qt6-sensors 6.7.2-1
qt6-shadertools 6.7.2-1
qt6-speech 6.7.2-1
qt6-svg 6.7.2-1
qt6-tools 6.7.2-2
qt6-virtualkeyboard 6.7.2-1
qt6-wayland 6.7.2-4
qt6-webchannel 6.7.2-1
qt6-webengine 6.7.2-2
qt6-websockets 6.7.2-1
qt6-webview 6.7.2-1
qtkeychain-qt6 0.14.3-1
raptor 2.0.16-5
rasqal 1:0.9.33-7
redis 7.2.5-1
redland 1:1.0.17-9
ripgrep 14.1.0-1
rnnoise 1:0.2-1
rsync 3.3.0-2
rtkit 0.13-3
rubberband 3.3.0-2
rustup 1.27.1-1
sassc 3.6.2-5
sbc 2.0-2
sddm 0.21.0-4
sddm-kcm 6.1.4-1
seabios 1.16.3-1
serd 0.32.2-1
shaderc 2024.1-1
signon-kwallet-extension 24.05.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-2
signond 8.61-3
slurp 1.5.0-1
smartmontools 7.4-2
smbclient 4.20.4-1
snappy 1.1.10-1
sndio 1.10.0-1
socat 1.8.0.0-2
solid 6.5.0-1
sonnet 6.5.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-12
spdlog 1.14.1-1
speech-dispatcher 0.11.5-2
speedtest-cli 2.1.3-8
speex 1.2.1-2
speexdsp 1.2.1-2
sratom 0.6.16-1
srt 1.5.3-2
startup-notification 0.12-8
stow 2.4.0-1
sudo 1.9.15.p5-2
sway 1:1.9-5
swaybg 1.2.1-1
swaylock-effects 1.7.0.0-4
syndication 6.5.0-1
syntax-highlighting 6.5.0-1
systemsettings 6.1.4-1
taglib 2.0.1-1
talloc 2.4.2-3
tdb 1.4.12-1
tevent 1:0.16.1-3
thefuck 3.32-9
thunar 4.18.11-1
tldr 3.3.0-1
tmux 3.4-10
tracker3 3.7.3-2
trash-cli 0.24.5.26-1
tree 2.1.3-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-font-awesome 6.6.0-1
ttf-hack 3.003-7
ttf-jetbrains-mono-nerd 3.2.1-2
uchardet 0.0.8-3
ufw 0.36.2-4
unrar 1:7.0.9-1
unzip 6.0-21
usbutils 017-1
v4l-utils 1.26.1-1
vapoursynth R69-1
vde2 2.3.3-5
vi 1:070224-6
vid.stab 1.1.1-2
viewnior 1.8-5
vim 9.1.0672-1
vlc 3.0.21-2
vmaf 3.0.0-1
vulkan-amdgpu-pro 24.10_1787253-1
vulkan-radeon 1:24.1.6-1
vulkan-tools 1.3.269-1
waybar 0.10.4-2
wayland-utils 1.2.0-2
webrtc-audio-processing 0.3.1-5
wget 1.24.5-3
wireplumber 0.5.5-1
wlogout 1.2.2-0
wofi 1.4.1-1
wolfssl 5.7.2-1
x264 3:0.164.r3108.31e19f9-2
xdg-dbus-proxy 0.1.5-2
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-kde 6.1.4-1
xdg-user-dirs 0.18-2
xf86-input-synaptics 1.9.2-2
xf86-video-amdgpu 23.0.0-2
xf86-video-vesa 2.6.0-2
xfce4-settings 4.18.6-1
xfconf 4.18.3-1
xmlsec 1.3.5-1
xorg-bdftopcf 1.1.1-2
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-server-devel 21.1.13-1
xorg-server-xephyr 21.1.13-1
xorg-server-xnest 21.1.13-1
xorg-server-xvfb 21.1.13-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.3-4
xorg-xcmsdb 1.0.6-2
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.5-2
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
